Brand,Product,Price,Reviews,Rating,product_id
LYS Beauty,No Limits Cream Bronzer and Contour Stick,0.05846774193548387,0.1314262852570514,0.6666666666666666,63
dae,Cactus Fruit 3-in-1 Styling Cream with Taming Wand,0.034274193548387094,0.0,0.8333333333333334,64
Charlotte Tilbury,Mini Pillow Talk Lipstick & Liner Set,0.03024193548387096,0.0,0.4999999999999999,65
Tower 28 Beauty,ShineOn Lip Jelly Hydrating Non-Sticky Lip Gloss,0.044354838709677415,0.0008001600320064013,0.8333333333333334,66
Saie,Mini Glowy Super Gel Lightweight Dewy Multipurpose Illuminator,0.026209677419354836,0.00020004000800160032,0.6666666666666666,67
Tower 28 Beauty,Mini SOS Daily Rescue Facial Spray with Hypochlorous Acid,0.026209677419354836,0.00040008001600320064,0.6666666666666666,68
The Ordinary,Mini Glycolic Acid 7% Exfoliating Toner,0.01814516129032258,0.12722544508901779,0.8333333333333334,69
Tatcha,The Dewy Skin Cream Plumping & Hydrating Refillable Moisturizer,0.011491935483870968,0.7999599919983997,0.6666666666666666,70
Paula's Choice,Skin Perfecting 2% BHA Liquid Exfoliant for Clear Skin,0.044354838709677415,0.00040008001600320064,0.8333333333333334,71
Saie,Dew Blush Liquid Cream Blush,0.02217741935483871,0.00020004000800160032,0.8333333333333334,72
DIOR,Dior Forever Skin Glow Foundation SPF 15,0.044354838709677415,0.0,0.6666666666666666,73
ILIA,Limitless Lash Lengthening Clean Mascara,0.10483870967741936,0.000600120024004801,0.6666666666666666,74
DIOR,BACKSTAGE Glow Face Palette,0.02016129032258064,0.0,0.8333333333333334,75
Rare Beauty by Selena Gomez,Soft Pinch Tinted Lip Oil Stain,0.0907258064516129,0.000600120024004801,0.6666666666666666,76
SEPHORA COLLECTION,Best Skin Ever Full Coverage Multi-Use Hydrating Concealer,0.038306451612903226,0.17063412682536505,0.6666666666666666,77
KAYALI,YUM BOUJEE MARSHMALLOW | 81 Eau de Parfum Intense Travel Spray,0.01653225806451613,0.0,0.6666666666666666,78
Benefit Cosmetics,Benetint Liquid Lip + Cheek Blush Stain,0.01653225806451613,0.0008001600320064013,0.6666666666666666,79
BURBERRY,Mini Her & Goddess Perfume Duo Set,0.05241935483870967,0.03660732146429286,0.8333333333333334,80
Fenty Beauty by Rihanna,Gloss Bomb Universal Lip Luminizer,0.04637096774193548,0.002400480096019204,0.8333333333333334,81
DIOR,Forever Skin Perfect 24H Multi-Use Foundation Stick,0.06451612903225806,0.0,0.8333333333333334,82
Armani Beauty,Eye Tint Long-Lasting Liquid Eyeshadow,0.03629032258064516,0.0,0.8333333333333334,83
Youth To The People,Superfood Gentle Antioxidant Refillable Cleanser,0.09879032258064516,0.001200240048009602,0.6666666666666666,84
SEPHORA COLLECTION,Mini Color Shifter Strange Botanicals Eyeshadow Palette,0.07056451612903226,0.05761152230446089,0.8333333333333334,85
Urban Decay,All Nighter Waterproof Makeup Setting Spray,0.026209677419354836,0.0026005201040208044,0.8333333333333334,86
DIOR,Lip Glow Oil,0.006048387096774193,0.00040008001600320064,0.6666666666666666,87
DIOR,Dior Addict Lip Maximizer Plumping Gloss,0.006048387096774193,0.00020004000800160032,0.8333333333333334,88
HUDA BEAUTY,Faux Filler Shiny Non-Sticky Lip Gloss,0.017943548387096775,0.000600120024004801,0.8333333333333334,89
NARS,Light Reflecting Advanced Skincare Medium Coverage Foundation,0.017943548387096775,0.00020004000800160032,0.6666666666666666,90
NARS,Soft Matte Complete Full Coverage Longwear Concealer,0.07459677419354839,0.00040008001600320064,0.8333333333333334,91
Sol de Janeiro,Delícia Drench™ Jet Set,0.07459677419354839,0.0584116823364673,0.9999999999999999,92
MILK MAKEUP,Cooling Water Jelly Ice Soothing Serum Stick with Niacinamide,0.03629032258064516,0.027005401080216044,0.8333333333333334,93
SEPHORA COLLECTION,Colorful Eyeshadow,0.1028225806451613,0.006601320264052811,0.0,94
Gisou,Honey Gloss Ceramide Therapy Hydrating Hair Mask,0.05846774193548387,0.04820964192838568,0.8333333333333334,95
caliray,Hideaway Brightening + Hydrating Under Eye Color Corrector Concealer,0.05846774193548387,0.08541708341668335,0.8333333333333334,96
MAKEUP BY MARIO,F4 Dual-Ended Foundation and Face Brush,0.05241935483870967,0.043808761752350475,0.8333333333333334,97
Benefit Cosmetics,"Precisely, My Brow Pencil Waterproof Eyebrow Definer",0.010080645161290322,0.0008001600320064013,0.8333333333333334,98
KAYALI,Mini YUM Perfume Duo Set,0.07862903225806452,0.005001000200040008,0.4999999999999999,99
Urban Decay,24/7 Glide-On Waterproof Eyeliner Pencil,0.05040322580645161,0.003200640128025605,0.8333333333333334,100
NATASHA DENONA,Hy-Glam Brightening & Hydrating Medium to Full Coverage Crease Proof Serum Concealer,0.05846774193548387,0.17483496699339868,0.8333333333333334,101
Lancôme,Lash Idôle Lengthening & Volumizing Mascara,0.026209677419354836,0.0018003600720144029,0.8333333333333334,102
MILK MAKEUP,Cooling Water Jelly Tint Lip + Cheek Blush Stain,0.05040322580645161,0.00020004000800160032,0.6666666666666666,103
Estée Lauder,Double Wear Stay-in-Place 24-Hour Longwear Foundation,0.04032258064516129,0.001200240048009602,0.8333333333333334,104
ONE/SIZE by Patrick Starrr,Mini Ultimate Blurring Setting Powder,0.05443548387096774,0.0,0.6666666666666666,105
PHLUR,Mini Vanilla Skin Body & Hair Fragrance Mist,0.026209677419354836,0.028205641128225645,0.6666666666666666,106
Dyson,Special Edition Airwrap™ Multi-Styler Complete Long in Strawberry Bronze,0.04233870967741935,0.0,0.6666666666666666,107
KAYALI,VANILLA | 28 Eau de Parfum,0.09879032258064516,0.00020004000800160032,0.6666666666666666,108
Rare Beauty by Selena Gomez,Mini Soft Pinch Liquid Blush and Lip Oil Set,0.03024193548387096,0.0034006801360272057,0.8333333333333334,109
Saie,Dew Bronze Soft-Focus Sculpting Liquid Bronzer,0.044354838709677415,0.09841968393678736,0.8333333333333334,110
MAKE UP FOR EVER,Super Boost Moisturizing & Plumping Lip Gloss,1.0,0.06341268253650731,0.9999999999999999,111
Tower 28 Beauty,MakeWaves Lengthening + Volumizing Mascara,1.0,0.00020004000800160032,0.6666666666666666,112
dae,Cactus Fruit 3-in-1 Styling Cream,0.05241935483870967,0.0,0.8333333333333334,113
Rare Beauty by Selena Gomez,Positive Light Silky Touch Highlighter,0.044354838709677415,0.00020004000800160032,0.6666666666666666,114
Topicals,Slick Salve Glossy Lip Balm for Soothing + Hydration,0.044354838709677415,0.0,0.8333333333333334,115
The Ordinary,Salicylic Acid 2% Exfoliating Blemish Solution,0.04637096774193548,0.0,0.6666666666666666,116
LAWLESS,Forget The Filler Lip Plumper Line Smoothing Gloss,0.01814516129032258,0.39987997599519903,0.6666666666666666,117
ONE/SIZE by Patrick Starrr,Ultimate Blurring Setting Powder,0.03024193548387096,0.39987997599519903,0.6666666666666666,118
SEPHORA COLLECTION,Nourishing Foot Mask in Coconut + Lavender,0.04838709677419355,0.03720744148829766,0.8333333333333334,119
SEPHORA COLLECTION,12 Hour Contour Pencil Eyeliner,0.026209677419354836,0.7999599919983997,0.6666666666666666,120
Kosas,Cloud Set Loose Translucent Talc-Free Setting + Blurring Powder,0.007459677419354839,0.03140628125625125,0.8333333333333334,121
Charlotte Tilbury,Mini Airbrush Flawless Finish Setting Powder,0.024193548387096774,0.0,0.6666666666666666,122
Dieux,Instant Angel Lipid & Peptide-Rich Moisturizer + Barrier Repair,0.03024193548387096,0.0,0.8333333333333334,123
ONE/SIZE by Patrick Starrr,B12 Base Thinner Luminous Vitamin Pearl Boosting Serum,0.004032258064516129,0.04060812162432487,0.9999999999999999,124
Saie,Slip Tint – Lightweight Tinted Moisturizer with Mineral Zinc SPF 35 and Hyaluronic Acid,0.01814516129032258,0.00020004000800160032,0.4999999999999999,125
Charlotte Tilbury,Mini Airbrush Flawless Setting Spray,0.07056451612903226,0.00040008001600320064,0.8333333333333334,126
MAKEUP BY MARIO,SoftSculpt Transforming Skin Enhancer®,0.05040322580645161,0.16983396679335866,0.8333333333333334,127
Rare Beauty by Selena Gomez,Soft Pinch Luminous Powder Blush,0.08467741935483872,0.00020004000800160032,0.6666666666666666,128
The Ordinary,Azelaic Acid 10% Suspension Brightening Cream,0.06653225806451613,0.0,0.6666666666666666,129
Too Faced,Better Than Sex Volumizing & Lengthening Mascara,0.06653225806451613,0.0036007201440288053,0.4999999999999999,130
Laura Mercier,Translucent Loose Setting Powder,0.04032258064516129,0.0016003200640128026,0.8333333333333334,131
Glossier,Boy Brow Volumizing Eyebrow Gel-Pomade,0.05846774193548387,0.10242048409681936,0.6666666666666666,132
Kérastase,Mini Elixir Ultime Hydrating Hair Oil,0.04838709677419355,0.17883576715343066,0.8333333333333334,133
Charlotte Tilbury,Hollywood Flawless Filter,0.018548387096774192,0.00040008001600320064,0.6666666666666666,134
Sephora Favorites,The Glow Up Kit,0.026209677419354836,0.014402880576115223,0.6666666666666666,135
Laura Mercier,Long-Wear Tinted Moisturizer Natural Dewy SPF 30 with Hyaluronic Acid,0.044354838709677415,0.07561512302460492,0.8333333333333334,136
Sephora Favorites,Perfect Pout Lip Kit,0.038306451612903226,0.01920384076815363,0.6666666666666666,137
Sol de Janeiro,Beija Flor™ Jet Set,0.05443548387096774,0.1344268853770754,0.8333333333333334,138
HUDA BEAUTY,#FauxFilter Brightening Under Eye Color Corrector,0.03225806451612903,0.00040008001600320064,0.8333333333333334,139
Fenty Beauty by Rihanna,Gloss Bomb Stix High-Shine Gloss Stick,0.11088709677419355,0.0,0.8333333333333334,140
MAKEUP BY MARIO,Ultra Suede® Sculpting Lip Pencil,0.044354838709677415,0.07381476295259053,0.8333333333333334,141
Yves Saint Laurent,Lash Clash Extreme Volume Mascara,0.07862903225806452,0.00040008001600320064,0.6666666666666666,142
SEPHORA COLLECTION,Organic Cotton Pads,0.05846774193548387,0.08501700340068014,0.8333333333333334,143
Too Faced,Born This Way Super Coverage Multi-Use Concealer,0.056451612903225805,1.0,0.8333333333333334,144
L'Occitane,Nourishing and Protective Shea Butter Hand Cream,0.044354838709677415,0.00020004000800160032,0.8333333333333334,145
Gisou,Honey Infused Hydrating Lip Oil,0.04637096774193548,0.0,0.6666666666666666,146
K18 Biomimetic Hairscience,Leave-In Molecular Repair Mask,0.06048387096774193,0.000600120024004801,0.6666666666666666,147
Kiehl's Since 1851,Ultra Facial Refillable Moisturizing Cream with Squalane,0.003024193548387096,0.00040008001600320064,0.8333333333333334,148
Glow Recipe,Watermelon Glow Niacinamide Dew Drops Serum,0.026209677419354836,0.000600120024004801,0.8333333333333334,149
HAUS LABS BY LADY GAGA,B Structural Volumizing and Lengthening Mascara,0.02016129032258064,0.07841568313662733,0.6666666666666666,150
stila,Stay All Day® Waterproof Liquid Eye Liner,0.05040322580645161,0.0020004000800160028,0.8333333333333334,151
Dr. Jart+,Ceramidin™ Skin Barrier Moisturizing Mask,0.05241935483870967,0.09061812362472495,0.8333333333333334,152
Yves Saint Laurent,Mini Black Opium & Libre Eau de Parfum Set,0.04637096774193548,0.04500900180036008,0.6666666666666666,153
The INKEY List,Caffeine De-puffing + Dark Circle Eye Cream,0.034274193548387094,0.00020004000800160032,0.6666666666666666,154
SEPHORA COLLECTION,Size Up Volumizing Mascara,0.05241935483870967,0.0,0.6666666666666666,155
HUDA BEAUTY,Mini Easy Bake Loose Baking & Setting Powder,0.02217741935483871,0.0,0.8333333333333334,156
HUDA BEAUTY,Easy Blur Natural Airbrush Foundation with Niacinamide,0.008064516129032258,0.00040008001600320064,0.8333333333333334,157
HUDA BEAUTY,#FauxFilter Matte Buildable Coverage Waterproof Concealer,0.008064516129032258,0.0010002000400080016,0.8333333333333334,158
Sol de Janeiro,Delícia Drench™ Moisturizing Shower Oil for Dry Skin,0.06451612903225806,0.058811762352470494,0.9999999999999999,159
Kosas,Cloud Set Baked Setting & Smoothing Talc-Free Vegan Powder,0.016129032258064516,0.39987997599519903,0.6666666666666666,160
The Ordinary,Multi-Peptide Lash and Brow Serum,0.0010080645161290322,0.000600120024004801,0.6666666666666666,161
PHLUR,Mini Heavy Cream Body and Hair Fragrance Mist,0.0010080645161290322,0.005601120224044809,0.4999999999999999,162
Rare Beauty by Selena Gomez,Perfect Strokes Universal Volumizing Mascara,0.038306451612903226,0.00020004000800160032,0.6666666666666666,163
The Ordinary,Natural Moisturizing Factors + HA,0.0685483870967742,0.00020004000800160032,0.6666666666666666,164
The INKEY List,Hydrocolloid Invisible Pimple Patches + Salicylic Acid,0.056451612903225805,0.1332266453290658,0.9999999999999999,165
Armani Beauty,Mini Luminous Silk Perfect Natural Glow Foundation,0.014112903225806451,0.12722544508901779,0.6666666666666666,166
Skinfix,barrier+ Strengthening and Moisturizing Triple Lipid-Peptide Refillable Cream with B-L3,0.03024193548387096,0.0,0.8333333333333334,167
Rare Beauty by Selena Gomez,Kind Words Lip Liner,0.02399193548387097,0.17403480696139226,0.8333333333333334,168
Rare Beauty by Selena Gomez,Positive Light Liquid Luminizer Highlight,0.044354838709677415,0.00040008001600320064,0.6666666666666666,169
Tower 28 Beauty,SunnyDays SPF 30 Tinted Sunscreen Foundation,0.01814516129032258,0.0,0.6666666666666666,170
LANEIGE,S'more Kisses Set,0.007459677419354839,0.021004200840168033,0.8333333333333334,171
Glow Recipe,Watermelon Glow PHA + BHA Pore-Tight Toner,0.012096774193548385,0.001200240048009602,0.8333333333333334,172
Hourglass,Phantom Volumizing Glossy Lip Balm,0.0907258064516129,0.0,0.8333333333333334,173
ILIA,Mini Limitless Lash Lengthening Mascara,0.034274193548387094,0.00020004000800160032,0.6666666666666666,174
SEPHORA COLLECTION,Moisturizing Lip Balm,0.026209677419354836,0.0,0.8333333333333334,175
COLOR WOW,Dream Coat Supernatural Spray Anti-Frizz Treatment,0.026209677419354836,0.00020004000800160032,0.6666666666666666,176
Farmacy,Green Clean Makeup Removing Cleansing Balm,0.05846774193548387,0.0010002000400080016,0.8333333333333334,177
Sol de Janeiro,Brazilian Bum Bum Jet Set,0.04838709677419355,0.00020004000800160032,0.8333333333333334,178
Kérastase,Nutritive 8H Magic Night Serum Hydrating Treatment for Dry Hair,0.026209677419354836,0.1230246049209842,0.8333333333333334,179
LANEIGE,Cream Skin Refillable Toner & Moisturizer with Ceramides and Peptides,0.07056451612903226,0.17483496699339868,0.8333333333333334,180
iNNBEAUTY PROJECT,"Extreme Cream Anti-Aging, Firming, & Lifting Refillable Moisturizer",0.02016129032258064,0.1384276855371074,0.8333333333333334,181
Benefit Cosmetics,Mighty Fine Waterproof Brow Pen,0.008064516129032258,0.16843368673734746,0.8333333333333334,182
Beautyblender,ORIGINAL Beautyblender Makeup Sponge,0.01814516129032258,0.0016003200640128026,0.8333333333333334,183
SEPHORA COLLECTION,Cream Contour Stick,0.03911290322580645,0.07521504300860173,0.8333333333333334,184
OUAI,Detox Shampoo,0.04233870967741935,0.00020004000800160032,0.8333333333333334,185
Laura Mercier,Caviar Stick Cream Eyeshadow,0.05846774193548387,0.0,0.8333333333333334,186
Paula's Choice,Pro-Collagen Peptide Plumping Gloss Balm Lip Treatment,0.11895161290322581,0.029205841168233646,0.8333333333333334,187
Sephora Favorites,Travel Spray Perfume Discovery Set with Redeemable Voucher,0.006048387096774193,0.0054010802160432084,0.4999999999999999,188
Sephora Favorites,Complexion Try-On Sample Bag With Redeemable Voucher,0.038306451612903226,0.005801160232046409,0.4999999999999999,189
REFY,Glow and Sculpt Face Serum Primer with Niacinamide,0.05040322580645161,0.054810962192438493,0.4999999999999999,190
tarte,tartelette™ XL tubing mascara,0.034274193548387094,0.0596119223844769,0.8333333333333334,191
K18 Biomimetic Hairscience,Mini Leave-In Molecular Repair Hair Mask,0.02217741935483871,0.000600120024004801,0.6666666666666666,192
Anastasia Beverly Hills,Brow Definer 3-in-1 Triangle Tip Easy Precision Eyebrow Pencil,0.02217741935483871,0.000600120024004801,0.6666666666666666,193
The Ordinary,Caffeine 5% + EGCG Depuffing Eye Serum,0.0282258064516129,0.5999199839967994,0.6666666666666666,194
Kérastase,Elixir Ultime Refillable Hydrating Hair Oil,0.04233870967741935,0.17883576715343066,0.8333333333333334,195
Hourglass,Veil™ Hydrating Skin Tint Foundation,0.06451612903225806,0.0,0.8333333333333334,196
HUDA BEAUTY,Easy Blur Silicone-Free Smoothing & Pore-Minimizing Primer,0.014112903225806451,0.0,0.8333333333333334,197
Valentino,Donna Born In Roma Eau de Parfum,0.06249999999999999,0.00020004000800160032,0.8333333333333334,198
Caudalie,Vinoperfect Brightening Dark Spot Serum Vitamin C Alternative,0.024193548387096774,0.00040008001600320064,0.6666666666666666,199
